ksh_code,settlement_name,county_name,area_code,basis
04932,Taszár,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
04950,Ortaháza,Zala,ORSZEM-ZALA,KSH_COUNTY
04969,Tormafölde,Zala,ORSZEM-ZALA,KSH_COUNTY
04978,Ipolytölgyes,Pest,ORSZEM-PEST,KSH_COUNTY
04987,Megyer,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
04996,Garbolc,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
05005,Irota,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
05014,Vének,Győr-Moson-Sopron,ORSZEM-GYOR-MOSON-SOPRON,KSH_COUNTY
05023,Bozsok,Vas,ORSZEM-VAS,KSH_COUNTY
05032,Gyula,Békés,ORSZEM-BEKES,KSH_COUNTY
05041,Nyírderzs,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
05050,Csitár,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
05069,Györgytarló,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
05078,Rinyabesenyő,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
05087,Lovászpatona,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
05096,Viss,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
05102,Balogunyom,Vas,ORSZEM-VAS,KSH_COUNTY
05111,Csongrád,Csongrád-Csanád,ORSZEM-CSONGRAD-CSANAD,KSH_COUNTY
